Field1	Field2	Title1	Image1	productlink_URL1	Money1	Price1	Tag1	Info1							
	"NO, GO TO THE INDIA SITE."	FITTED JACQUARD DRESS	https://static.zara.net/photos///2023/I/0/1/p/1165/590/041/2/w/198/1165590041_6_1_1.jpg?ts=1693466708709	https://www.zara.com/us/en/fitted-jacquard-dress-p01165690.html	39.90 USD	12.99 USD	FEW ITEMS LEFT	2							
	"NO, GO TO THE INDIA SITE."	PRINTED MINI DRESS	https://static.zara.net/photos///2024/V/0/1/p/9878/082/046/2/w/198/9878082046_6_1_1.jpg?ts=1706025339828	https://www.zara.com/us/en/printed-mini-dress-p09878082.html	49.90 USD	49.90 USD	FEW ITEMS LEFT	1							
	"NO, GO TO THE INDIA SITE."	PRINTED SHIRT	https://static.zara.net/photos///2023/I/0/1/p/2492/151/070/2/w/198/2492151070_6_1_1.jpg?ts=1688627120336	https://www.zara.com/us/en/printed-shirt-p02492151.html	22.99 USD	12.99 USD	FEW ITEMS LEFT								
	"NO, GO TO THE INDIA SITE."	MIXED SEMI-SHEER MINI DRESS	https://static.zara.net/photos///2024/V/0/1/p/9878/089/800/2/w/198/9878089800_6_1_1.jpg?ts=1704279154047	https://www.zara.com/us/en/mixed-semi-sheer-mini-dress-p09878276.html	59.90 USD	59.90 USD	FEW ITEMS LEFT								
	"NO, GO TO THE INDIA SITE."	DRESS WITH DRAPED NECKLINE	https://static.zara.net/photos///2023/V/0/1/p/1165/134/615/2/w/198/1165134615_6_1_1.jpg?ts=1685543472562	https://www.zara.com/us/en/dress-with-draped-neckline-p01165134.html	35.90 USD	12.99 USD									
	"NO, GO TO THE INDIA SITE."	RUFFLED SHIRT DRESS	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/ruffled-shirt-dress-p03897174.html	59.90 USD	59.90 USD	FEW ITEMS LEFT								
	"NO, GO TO THE INDIA SITE."	RUFFLED ANIMAL PRINT TOP	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/ruffled-animal-print-top-p00387162.html	45.90 USD	12.99 USD									
	"NO, GO TO THE INDIA SITE."	FLORAL PRINT TOP	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/floral-print-top-p02492153.html	45.90 USD	12.99 USD									
	"NO, GO TO THE INDIA SITE."	TIED PRINTED TOP	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/tied-printed-top-p01165163.html	39.90 USD	12.99 USD									
	"NO, GO TO THE INDIA SITE."	CROPPED SOFT JACKET	https://static.zara.net/stdstatic/5.30.0/images/transparent-background.png	https://www.zara.com/us/en/cropped-soft-jacket-p03046260.html	49.90 USD	49.90 USD		1							
